Long	Lat	Pop
-24.344426	14.995723	F7
-24.345154	14.995918	F7
-24.344726	14.995839	F7
-24.344921	14.998298	F5
-24.345464	14.999426	F5B
-24.346445	14.999722	F3
-24.346504	14.999915	F3
-24.346108	14.999817	F3
-24.354798	15.004739	F2
-24.357342	15.003857	F1
-24.336713	14.923104	F10#-19
-24.336188	14.923685	F10#-14
-24.336299	14.923632	F10#-18
-24.336369	14.923299	F10#-12
-24.336246	14.923427	F10#-11
-24.336601	14.923114	F10
-24.335782	14.923007	F10#-13
-24.33519	14.923753	F10#-16
-24.335388	14.923767	F10
-24.335504	14.923797	F10
-24.335401	14.923878	F10#-17
-24.335682	14.923749	F10#-15
-24.3912	15.007374	F12
-24.391391	15.007035	F12
-24.389709	15.006603	F13
-24.39001	15.006935	F13
-24.34792	14.996121	F4
-24.349265	14.995873	F4B
-24.349355	14.996024	F4B
-24.355551	14.996357	F16
-24.368405	14.992861	F16
-24.365384	14.99354	F16
-24.357353	14.995737	F16
-24.355862	14.996368	F16
-24.352847	14.996856	F16
-24.344444	15.0025	F8
-24.364444	15.0077778	F9
-24.396944	15.0055556	F11
-24.382837	15.014456	F15
